date,type,role,venue,hangDurationSeconds,loadKg,rpe,sets,taxing,feltStrong,nextDayFeel,block,notes,e1rmKg
2026-04-14,Yielding,,Board,5,20.0,,,3.0,5.0,3.0,Accumulation,"Felt easy at +25kg, 1-2s left in tank",
2026-04-21,Climbing,Climb,Outdoor,,,,,2.0,5.0,2.0,Accumulation,Outdoor easy,
2026-04-22,Yielding,,Board,5,25.0,,,2.0,5.0,3.0,Accumulation,"Felt weaker, bit hurt finger",
2026-04-24,OI,OI,Gym,,,,,2.0,5.0,2.0,Accumulation,"Project attempts, cold",
2026-04-28,OI,OI,Gym,,,,,1.0,5.0,2.0,Accumulation,Tired after work,
2026-04-30,OI,OI,Gym,,,,,3.0,5.0,3.0,Accumulation,Struggle to express power,
2026-05-01,Yielding,,Board,5,15.0,,,4.0,5.0,2.0,Accumulation,"Good session, good execution, sent project",
2026-05-04,Yielding,,Board,5,20.0,,,3.0,8.0,2.0,Accumulation,Low energy but felt strong,
2026-05-07,OI,OI,Gym,,,,,4.0,8.0,2.0,Accumulation,"Felt good, sent alot, but felt dead fast. Low food",
2026-05-09,Climbing,Climb,Outdoor,,,,,2.0,7.0,3.0,Accumulation,"Fun session, might go hangboard tomorrow",
2026-05-10,OI,OI,Other,,,,,3.0,6.0,3.0,Accumulation,"Did some hb, felt abit tired",
2026-05-12,Yielding,Heavy,Board,5,25.0,10.0,3.0,3.0,6.0,2.0,Trans I 1/4,"Felt ok on hb, but tired spray sesh",25.0
2026-05-14,Yielding,Volume,Gym,5,20.0,10.0,3.0,3.0,3.0,4.0,Trans I 1/4,"Felt weak, tired, hb weak",20.0
2026-05-16,OI,OI,Gym,,,,0.0,1.0,2.0,3.0,Trans I 1/4,"Week sesh, hangout tired sore",
2026-05-19,Yielding,Heavy,Other,5,25.0,10.0,3.0,1.0,4.0,3.0,Trans I 1/4,"Only hb, felt disconnected",25.0
2026-05-24,OI,OI,Gym,,,,,4.0,6.0,3.0,Trans I 1/4,Felt ok after a long rest,
2026-05-26,Yielding,Heavy,Board,5,25.0,9.0,3.0,3.0,8.0,4.0,Trans I 1/4,"Felt strong on hb, 25 felt controlled, spray was easy",26.6
2026-05-28,OI,OI,Gym,,,,,4.0,5.0,,Trans I 1/4,Tired after work,
2026-05-31,Yielding,Volume,Other,5,,,,2.0,7.0,,Trans I 1/4,Good sesh ggs!,
